participant,k,beta,negative_log_likelihood,success
Sample1_07mpzgefw,0.015586651432569511,0.27780419824359337,36.72452109051481,True
Sample1_0ow9y3ng4,0.010187997531138068,16.971269305919737,10.753988710962759,True
Sample1_19j097r6c,0.0013395583868579966,4.560745857362676,13.20570182485274,True
Sample1_1pwx30q0h,0.009929169870597242,20.0,12.782909297976097,True
Sample1_2k3imu1lz,0.008564485349242186,1.6059757421875347,17.81210692705223,True
Sample1_2rw7x91oz,0.5723747408145966,20.0,11.678845489932051,True
Sample1_2y7h2y7g1,0.009696329150116416,16.03193527216632,9.146951177436964,True
Sample1_3sdxo9cfd,8.35040175414096e-05,5.309179255372896,16.228759534741425,True
Sample1_3vkv0cbe1,0.00122816135817611,0.5767998727583026,32.083978423061914,True
Sample1_416jjdnnn,0.4327153089210186,0.07063164932434648,46.442614111399195,True
Sample1_59lmk7c90,0.009595302641888723,16.45803590027703,7.879418261759113,True
Sample1_7216tqa2d,0.0014613242845568847,0.3496891645672905,37.05056682800212,True
Sample1_7igsa1nbf,0.08981701060414242,0.9341754841043487,13.563318290337389,True
Sample1_7urrtpotu,0.0022646370310827604,1.0221671963716286,22.04376337894101,True
Sample1_7wtuwovob,0.00018135434735505046,1.5380565058728106,23.112636362051383,True
Sample1_96g8skosc,0.0009567127168966237,5.56857873842658,17.7321929358657,True
Sample1_9tw8ceqof,0.010209129452927696,1.2730444626983974,21.436918540542656,True
Sample1_9v9a0mzog,0.001084590560440856,1.2240053401826805,25.73558231794689,True
Sample1_9vtybo1wv,0.00038903455137284204,0.7299895520684101,29.3628447402087,True
Sample1_a5uzstsdg,0.0007142751983983143,1.8206686150364793,21.834357224685995,True
Sample1_at6mu21pj,0.0005137510865516915,1.9859662157260778,20.44913212623341,True
Sample1_b8x0tj037,0.0007160371837627508,1.1756626417671774,25.494879613314733,True
Sample1_c4nfcv2fz,0.2541098351071795,0.14994699060684397,38.318944761467876,True
Sample1_cml16ebl7,0.009142938977023308,1.4000273992524583,20.150125334966457,True
Sample1_d2eqyupv3,0.0015653489070626997,0.7337195494894119,28.138013005944604,True
Sample1_ei0nobwml,0.011481450812592019,10.051750222268266,4.963287717709969,True
Sample1_f3eggdrvl,0.23377438275279996,0.3750755687554455,25.772858034575034,True
Sample1_f3zeh9jib,1e-05,1.3239708382751987,24.979200092529222,True
Sample1_fp18o4fwe,0.009886285816514087,4.00992945694129,15.692559996968678,True
Sample1_i26dy5na0,0.0005549994489733835,0.7928127679587342,28.75737897517829,True
Sample1_ipex8uk78,0.010210127145899014,0.40165349184885113,33.93074772606644,True
Sample1_iyx44wgf4,0.01195953984336271,0.4147759090556313,32.85706618427284,True
Sample1_js4ftmk17,0.009821017602910074,13.954671991877177,11.534060283208936,True
Sample1_k0gmonjdn,0.010955834287493173,2.629976209916464,14.681422850584234,True
Sample1_ktfmcgrx3,0.0006868388311518825,0.9026722247608586,27.82397126941602,True
Sample1_mr0at8mm8,0.0003042463539040916,2.858643324630966,17.759049275937507,True
Sample1_qw1758wg8,0.05802003181455962,1.2808153594281513,9.920202934839095,True
Sample1_t5fyitpcm,0.223576120757515,0.15535702299235934,37.98529151415271,True
Sample1_thfibl58o,0.010096593112451657,1.1000488238799757,22.772468453157913,True
Sample1_tqjcijs1e,0.0028568471848287413,0.3905862546005856,34.05107104581779,True
Sample1_umjp1a2hq,0.11626684367877456,0.12380500355498009,41.729042637354866,True
Sample1_veuoxm4oo,0.0014937738833832358,0.5057570236140001,32.759188042049,True
Sample1_vowxbo6kk,0.010028742493495491,20.0,36.60554980344989,True
Sample1_wgvqvlh1r,0.5891332698977284,19.340795301072898,36.051753689858394,True
Sample1_wk2b9tknn,0.010635278609545006,1.2059918847195095,44.50554366429453,True
Sample1_wqbicpk3k,0.009752922218224035,20.0,8.867119589978701,True
Sample1_xlols9pbl,0.008541982490886644,4.194335918351995,10.094883925672876,True
Sample1_xqi9fh64a,0.0008948919391694971,0.9867046383103333,27.71444850025747,True
Sample1_yzpl1bjpp,0.008841694389823653,0.7221012573755605,26.9985121093044,True
Sample2_277dejrmj,0.009940314724376764,2.2147386614342786,44.42025659843873,True
Sample2_2qwq8xyde,1e-05,0.07072380642721364,57.609909539631815,True
Sample2_49a65znb0,0.0013337713594494065,0.326556225824529,42.622981123442315,True
Sample2_4vubmw9up,0.00987580977282154,20.0,12.067647096468066,True
Sample2_4z5b6fuid,0.00922278718070445,0.7215124842300841,99.22100581520398,True
Sample2_50qhhzl0l,1e-05,3.7777097470827634,23.568609441702062,True
Sample2_50rq1sfb6,0.010065348997127119,1.0323864920459722,26.858603841972858,True
Sample2_50umgcuue,0.023283960402776388,0.08781656951790716,53.78450822901944,True
Sample2_5jvj7f5y4,0.00885762547271632,0.8253954658190855,27.61474233486351,True
Sample2_5moexv8j1,0.010060680568391852,20.0,60.667008975343066,True
Sample2_5xl460hsv,0.011700844167076783,0.3639621574763799,37.97992884477266,True
Sample2_82xbgaiuk,0.00831148666923478,0.4666004481695975,35.114451604701166,True
Sample2_84swjwyjd,0.0038708584873028335,0.35708868837069585,37.07381453217225,True
Sample2_873wvfkd2,0.009797193763160683,15.88888527088874,34.109185064512666,True
Sample2_8u3pi39bq,0.017020783166243635,0.2666518518641798,38.92865592858718,True
Sample2_biaqpumtx,0.005375697796649998,1.507971444643513,61.4896207849772,True
Sample2_bjhokmodm,0.008258879640641778,1.2345410104175822,43.88287525345915,True
Sample2_c7ffk4ezz,0.0011559647491013515,0.4139710288911955,40.49652266392178,True
Sample2_codadtdv1,0.0046248078950613305,0.10436632920112283,54.5627063092512,True
Sample2_d9ioh0tpx,0.009149484768615788,1.333764797401751,22.386575506832592,True
Sample2_dyww6xmpp,0.001216025114408117,0.2501308950904806,46.25367533579806,True
Sample2_f9w51nwmr,0.027022009375537975,20.0,0.00024538327557172224,True
Sample2_gx2bbf6of,0.00902645840151693,1.5513069136405948,20.282421182789708,True
Sample2_in8hftao9,0.2925216870843271,0.14581617176050593,41.85516210462237,True
Sample2_ix42u9e0o,0.0098716732400263,1.3508366797543458,47.50901693834119,True
Sample2_iyqrwiz9n,0.009980332162836194,17.72354995773566,17.034248901083302,True
Sample2_k5m1dlbmf,0.002159149771228322,0.018429756160525765,67.60485212468281,True
Sample2_k8r16gj2b,0.9921190091416279,0.10755743297801482,45.1250949294705,True
Sample2_kon6vjyfd,0.0026029057193021838,0.17008704914060177,48.66053813437549,True
Sample2_m470ivgam,0.000866486671351191,0.8274548860413483,33.04606470603065,True
Sample2_mjx6wy2sv,0.06130545223856925,0.14135150095111426,43.72978368118039,True
Sample2_o5lfq2joa,0.0011556730911355464,0.4049551996989859,40.76090784782263,True
Sample2_omvtibgki,0.0006816527180241722,0.27376113412573605,45.310108497752935,True
Sample2_ot3o7pu2r,0.009456974416453318,2.8683949552558294,85.98584879949847,True
Sample2_pakx957ob,0.010058926351915,2.7920929393558582,43.365586037651845,True
Sample2_plkt7myz0,0.2068359729381294,6.526020829080384,4.938276992937861,True
Sample2_pyn9rm0o9,0.0010933338078685344,0.5683482737495122,37.14259456727924,True
Sample2_qiu64744r,0.02333085477413683,0.13454575455781284,47.85955929871664,True
Sample2_rbc5o1r2q,0.000982236561147156,20.0,14.52626199303592,True
Sample2_rok227idr,0.009978198563154421,15.583723231443907,17.095043995736162,True
Sample2_sc1lxilj1,0.001042737136642744,0.4742185919594504,39.400966759672784,True
Sample2_soqsnbrd7,0.0009097641460631376,0.729372032538942,34.71212561360088,True
Sample2_t7upqmplc,0.0009326460951177074,0.365831471117548,42.40582952493974,True
Sample2_trqmhnfwu,0.0009582916862183335,20.0,12.028236333350504,True
Sample2_tvlehk06l,1e-05,1.5898570839860098,27.995463195723023,True
Sample2_wrtrqhfyg,0.0011402818690484358,0.6635616406913348,35.01673101774167,True
Sample2_y4omxlre4,0.011030663524717552,0.7834980092826096,51.1638489373737,True
Sample2_y9v5ajrt6,0.009808348337237397,0.24254586547213983,44.435309020851676,True
Sample2_ygx60l0no,0.0011169834153595352,0.7000548400477221,34.62018017573463,False
Sample2_ztvocmqgb,0.014840794003523207,0.09438101397989578,54.371237941097974,True
